occurrenceID,basisOfRecord,scientificName,eventDate,class_,decimalLongitude,vernacularName,locality,phylum,kingdom,geodeticDatum,scientificNameAuthorship,occurrenceRemarks,family,countryCode,genus,taxonID,specificEpithet,decimalLatitude,eventID,taxonRank,order,individualCount
2020-09-18T09:18:30.087950,Human Observation,Pharomachrus mocinno,1600442100000,Aves,-83.009009,Quetzal,AB-01 Altamira de Biolley-01,Chordata,Animalia,EPSG:4326,"De la Llave, 1832",,Trogonidae,CR,Pharomachrus,000017,mocinno,9.005495,2020-09-18T09:18:27.178875,species,Trogoniformes,1
2020-09-18T09:18:31.242240,Human Observation,Tapirus bairdii,1600442100000,Mammalia,-83.009009,Danta,AB-01 Altamira de Biolley-01,Chordata,Animalia,EPSG:4326,,,Tapiridae,CR,Tapirus,000010,bairdii,9.005495,2020-09-18T09:18:27.178875,species,Perissodactyla,1
2020-09-18T09:18:32.496921,Human Observation,Panthera onca,1600442100000,Mammalia,-83.009009,Jaguar,AB-01 Altamira de Biolley-01,Chordata,Animalia,EPSG:4326,"(Linnaeus, 1758)",,Felidae,CR,Panthera,000001,onca,9.005495,2020-09-18T09:18:27.178875,species,Carnivora,1
,Human Observation,Tinamus major,1600408800000,Aves,-83.00814,"Gallina de monte, tinamú grande",Altamira ,Chordata,Animalia,EPSG:4326,"(J.F.Gmelin, 1789)",,Tinamidae,CR,Tinamus,000025,major,9.029678,0,species,Tinamiformes,1
2020-09-18T10:03:31.422551,Human Observation,Trogon collaris,1600444800000,Aves,-83.009009,Trogón collarejo,AB-01 Altamira de Biolley-01,Chordata,Animalia,EPSG:4326,"Vieillot, 1817",,Trogonidae,CR,Trogon,000022,collaris,9.005495,2020-09-18T10:03:28.756834,species,Trogoniformes,2
2020-09-18T10:03:31.521292,Human Observation,Trogon collaris,1600444800000,Aves,-83.009009,Trogón collarejo,AB-01 Altamira de Biolley-01,Chordata,Animalia,EPSG:4326,"Vieillot, 1817",,Trogonidae,CR,Trogon,000022,collaris,9.005495,2020-09-18T10:03:30.964644,species,Trogoniformes,2
2020-09-18T10:03:31.758970,Human Observation,Procnias tricarunculatus,1600444800000,Aves,-83.009009,Pájaro campana,AB-01 Altamira de Biolley-01,Chordata,Animalia,EPSG:4326,"(J.Verreaux & E.Verreaux, 1853)",,Cotingidae,CR,Procnias,000023,tricarunculatus,9.005495,2020-09-18T10:03:28.756834,species,Passeriformes,1
2020-09-18T10:03:31.930457,Human Observation,Procnias tricarunculatus,1600444800000,Aves,-83.009009,Pájaro campana,AB-01 Altamira de Biolley-01,Chordata,Animalia,EPSG:4326,"(J.Verreaux & E.Verreaux, 1853)",,Cotingidae,CR,Procnias,000023,tricarunculatus,9.005495,2020-09-18T10:03:30.964644,species,Passeriformes,1
2020-09-18T10:03:32.047191,Human Observation,Tinamus major,1600444800000,Aves,-83.009009,"Gallina de monte, tinamú grande",AB-01 Altamira de Biolley-01,Chordata,Animalia,EPSG:4326,"(J.F.Gmelin, 1789)",,Tinamidae,CR,Tinamus,000025,major,9.005495,2020-09-18T10:03:28.756834,species,Tinamiformes,2
2020-09-18T10:03:32.198632,Human Observation,Tinamus major,1600444800000,Aves,-83.009009,"Gallina de monte, tinamú grande",AB-01 Altamira de Biolley-01,Chordata,Animalia,EPSG:4326,"(J.F.Gmelin, 1789)",,Tinamidae,CR,Tinamus,000025,major,9.005495,2020-09-18T10:03:30.964644,species,Tinamiformes,2
