Submission ID,Common Name,Scientific Name,Taxonomic Order,Count,State/Province,County,Location ID,Location,Latitude,Longitude,Date,Time,Protocol,Duration (Min),All Obs Reported,Distance Traveled (km),Area Covered (ha),Number of Observers,Breeding Code,Observation Details,Checklist Comments,ML Catalog Numbers
S64565279,Chachalaca Cabecigrís,Ortalis cinereiceps,751,6,CR-P,,L10743657,"Fila Naranjo. Provincia de Puntarenas, CR (8,921, -82,957)",8.9213999,-82.9574246,2020-02-13,02:41 PM,eBird - Traveling Count,154,1,2.87,,10
S60511650,Chachalaca Cabecigrís,Ortalis cinereiceps,751,10,CR-SJ,,L10015175,"Finca 3, Los Ángeles De Páramo San José, CR (9,478, -83,798)",9.4784053,-83.7980712,2019-10-06,06:24 AM,eBird - Traveling Count,240,1,2.7,,5
S65757749,Chachalaca Cabecigrís,Ortalis cinereiceps,751,5,CR-P,,L10955564,"Finca Campos, Provincia de Puntarenas, CR (8,911, -82,977)",8.9112443,-82.9772384,2020-03-13,03:44 PM,eBird - Traveling Count,87,1,1.92,,10
S61777607,Chachalaca Cabecigrís,Ortalis cinereiceps,751,4,CR-SJ,,L10202342,"Finca Esteban San José, CR (9,43, -83,843)",9.4301182,-83.843359,2019-11-26,02:40 PM,eBird - Traveling Count,72,1,1.01,,1
S64162121,Chachalaca Cabecigrís,Ortalis cinereiceps,751,5,CR-SJ,,L10690106,"Finca Esteban, San José, CR (9,43, -83,843)",9.4302336,-83.8432589,2020-02-05,02:50 PM,eBird - Traveling Count,125,1,1.29,,41
S64162123,Chachalaca Cabecigrís,Ortalis cinereiceps,751,5,CR-SJ,,L10690107,"Finca Esteban, San José, CR (9.43, -83.843)",9.4301161,-83.8433038,2020-02-05,02:50 PM,eBird - Traveling Count,125,1,1.29,,4
S61771529,Chachalaca Cabecigrís,Ortalis cinereiceps,751,6,CR-SJ,,L10201762,"Finca de Esteban, San José, CR (9,43, -83,843)",9.430193,-83.843468,2019-11-26,01:50 PM,eBird - Stationary Count,10,1,,,1
S69974107,Chachalaca Cabecigrís,Ortalis cinereiceps,751,3,CR-SJ,,L11455225,Floristeria Bonnysu,9.3813434,-83.733201,2020-05-23,07:12 AM,eBird - Traveling Count,300,1,5,,2
S69104266,Chachalaca Cabecigrís,Ortalis cinereiceps,751,4,CR-SJ,,L11395385,Jaime San Jerónimo de San Pedro de Pérez Zeledón,9.3504884,-83.5038598,2020-05-09,05:17 PM,eBird - Stationary Count,25,1,,,2
S64871448,Chachalaca Cabecigrís,Ortalis cinereiceps,751,50,CR-P,,L10829508,"Jardín Ecológico El Renacer Provincia de Puntarenas, CR (9,036, -83,04)",9.0355347,-83.0403948,2020-02-22,02:43 PM,eBird - Stationary Count,20,1,,,1,,Observación : En mi casa
S64897505,Chachalaca Cabecigrís,Ortalis cinereiceps,751,10,CR-P,,L10829508,"Jardín Ecológico El Renacer Provincia de Puntarenas, CR (9,036, -83,04)",9.0355347,-83.0403948,2020-02-23,08:03 AM,eBird - Stationary Count,27,1,,,1
S65267576,Chachalaca Cabecigrís,Ortalis cinereiceps,751,10,CR-P,,L10829508,"Jardín Ecológico El Renacer Provincia de Puntarenas, CR (9,036, -83,04)",9.0355347,-83.0403948,2020-02-29,06:56 AM,eBird - Stationary Count,15,1,,,1
